Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1931,5,9,10,34,45.7,-108.500,24.320,0,15.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
1931,7,7,3,54,0.0,-96.000,14.000,0,0.0,0,0.0,0,6.2,132,0.0,0,0.0,0,0.0,0,0.0,0,6.2,165
1931,7,27,7,16,23.3,-85.723,17.301,0,35.0,0,0.0,0,0.0,0,0,0,5.8,159,0.0,0,0.0,0,5.8,164
1931,8,16,11,40,25.5,-104.300,30.709,30,10.0,89,0.0,0,0.0,0,0.0,0,6.5,91,0.0,0,0.0,0,6.5,164
1931,9,26,19,50,0.0,-92.000,15.000,0,60.0,0,0.0,0,6.0,132,0.0,0,0.0,0,0.0,0,0.0,0,6.0,165
1931,9,26,20,3,0.0,-91.500,14.500,0,0.0,0,0.0,0,6.2,132,0.0,0,0.0,0,0.0,0,0.0,0,6.2,165
1931,10,1,11,45,40.1,-114.687,29.838,0,15.0,0,0.0,0,0.0,0,0.0,0,6.3,159,0.0,0,0.0,0,6.3,164
1931,10,26,4,25,8.9,-108.514,22.443,0,35.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
1931,11,2,0,32,3.0,-97.000,16.000,7,Sh,7,0.0,0,6.2,7,6.7,0,0.0,0,0.0,0,0.0,0,6.4,165
1931,11,14,13,51,0.0,-110.000,19.000,0,0.0,0,0.0,0,5.6,132,0.0,0,0.0,0,0.0,0,0.0,0,5.7,165
1932,3,10,23,1,0.0,-97.000,18.500,0,150.0,0,0.0,0,5.5,132,0.0,0,0.0,0,0.0,0,0.0,0,5.6,165
1932,3,14,4,6,4.4,-108.676,21.759,0,15.0,0,0.0,0,0.0,0,0.0,0,6.2,159,0.0,0,0.0,0,6.2,164
1932,4,24,6,10,55.1,-111.774,25.082,0,15.0,0,0.0,0,0.0,0,0.0,0,6.1,159,0.0,0,0.0,0,6.1,164
1932,4,29,16,52,28.1,-115.550,31.846,0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.2,155,4.2,168
1932,5,21,10,10,3.7,-87.862,13.198,0,15.0,0,0.0,0,0.0,0,0,0,7.1,159,0.0,0,0.0,0,7.1,164
1932,6,3,10,36,52.0,-103.990,19.840,2; 7; 15; 31,16.0,13,0.0,0,8.2,12; 32; 13; 4; 102,8.4,7,8.1,43,0.0,0,0.0,0,8.1,164
1932,6,18,10,12,10.0,-103.500,19.500,2; 7; 15; 31; 32,16.0,13,0.0,0,8.0,7,7.8,12; 32; 31; 13; 4; 103,7.8,43,0.0,0,0.0,0,7.8,164
1932,6,22,12,59,27.5,-104.680,18.740,7; 32,Sh,7,0.0,0,7.0,7; 32; 105,0.0,0,7.7,43,0.0,0,0.0,0,7.7,164
1932,6,27,10,7,22.8,-116.091,31.530,0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.8,155,4.7,168
