Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1812,4.0,21.0,,,,7.1,139.62,35.39,
1812,12.0,8.0,15.0,,,7.5,-117.65,34.37,
1812,12.0,21.0,19.0,,,7.1,-119.8,34.2,
1815,8.0,20.0,,,,7.2,-89.0,12.75,
1815,10.0,23.0,,,,6.75,111.2,34.8,
1815,11.0,22.0,15.0,,,7.0,115.0,-8.0,
1816,2.0,2.0,0.0,40.0,,7.0,-15.0,37.0,
1816,7.0,23.0,0.0,30.0,,7.7,-91.25,15.35,10.0
1816,10.0,14.0,,,,7.0,130.4,-4.6,
1816,12.0,8.0,,,,7.5,100.7,31.4,
1817,7.0,4.0,17.0,30.0,,7.0,-64.5,-28.0,30.0
1818,3.0,18.0,,,,7.5,101.6,-4.9,
1818,5.0,31.0,,,,8.2,-105.0,19.0,
1818,11.0,8.0,15.0,15.0,,8.5,117.0,-7.0,
1819,4.0,11.0,15.0,,,8.5,-70.35,-27.35,
1819,6.0,16.0,19.0,,,8.1,69.0,23.0,
1819,8.0,2.0,14.0,,,7.3,136.3,35.2,
1820,,,,,,6.2,11.6,-4.5,
1820,5.0,4.0,,,,7.8,-99.0,16.5,
1820,10.0,19.0,,,,6.5,-88.0,14.98,
1820,12.0,29.0,1.0,,,7.5,119.0,-7.0,
1822,4.0,3.0,,,,7.1,90.72,24.32,15.0
1822,5.0,7.0,,,,7.6,-83.15,9.63,20.0
1822,8.0,13.0,20.0,40.0,,7.4,36.9,36.7,
1822,11.0,20.0,2.0,30.0,,8.25,-71.63,-33.05,
1823,2.0,9.0,,,,7.9,84.69,7.62,15.0
1823,6.0,,8.0,0.0,,7.2,-155.0,19.25,
1824,10.0,26.0,,,,7.4,121.9,14.2,
1825,3.0,2.0,7.0,,,7.0,2.9,36.5,
1826,,,,,,8.0,167.4,-44.7,
1826,4.0,3.0,,,,7.1,-85.5,10.0,45.0
1827,9.0,1.0,,,,7.0,-91.46,13.75,
1827,11.0,16.0,23.0,,,7.75,-75.9,1.9,
1828,6.0,7.0,6.0,,,7.4,77.0,35.0,
1829,3.0,8.0,,,,6.9,101.0,51.7,
1829,9.0,26.0,14.0,30.0,,7.0,-71.63,-33.05,
1829,11.0,26.0,1.0,40.0,,7.3,26.6,45.8,150.0
1829,12.0,17.0,,,,7.1,-90.25,14.167,
1830,3.0,27.0,12.0,,,7.1,52.5,35.7,
1830,3.0,28.0,1.0,,,7.0,128.0,-4.05,
1830,6.0,12.0,,,,7.5,114.3,36.4,
1831,2.0,7.0,,,,7.1,-89.583,13.833,
1832,1.0,22.0,,,,7.3,71.0,36.5,
1833,8.0,26.0,,,,8.0,85.5,28.3,
1833,9.0,6.0,,,,8.0,103.0,25.0,
1833,9.0,18.0,10.0,45.0,,7.2,-71.01,-18.251,60.0
1833,10.0,2.0,,,,7.0,-85.5,10.0,45.0
1833,11.0,24.0,13.0,30.0,,9.0,100.0,-3.5,
1833,12.0,7.0,15.0,,,7.7,139.25,38.9,
1834,1.0,20.0,,,,7.4,-77.0,1.12,
1834,10.0,9.0,22.0,30.0,,7.0,107.0,-6.9,
1835,2.0,20.0,15.0,30.0,,8.25,-73.03,-36.83,
1835,7.0,20.0,14.0,,,7.0,142.5,38.5,
1835,10.0,31.0,19.0,,,7.0,128.1,-3.4,
1836,11.0,28.0,2.0,30.0,,7.5,118.7,-8.3,
1837,1.0,1.0,,,,7.0,35.5,33.3,
1837,9.0,29.0,7.0,15.0,,7.3,94.5,5.0,
1837,11.0,7.0,11.0,30.0,,8.0,-73.2,-39.8,
1837,11.0,23.0,,,,7.7,-98.0,16.0,
1838,,,,,,6.9,59.9,29.6,
1838,,,,,,7.0,175.0,-39.4,
