Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2009,11,24,0,52,32,3.5,-9.9665,33.8511,0
2009,11,25,21,14,33,4.1,-10.0578,33.8595,11
2009,11,29,17,21,16,4.1,-8.3232,36.763,10
2009,11,29,17,21,29,4.1,-8.7733,36.7586,10
2009,12,1,4,27,26,3.9,-10.0377,33.7229,10
2009,12,6,17,36,36,5.7,-10.1584,33.8248,14.25
2009,12,6,17,40,12,4.7,-9.8736,34.1329,16.25
2009,12,6,17,43,52,4.4,-9.9105,33.8091,9.5
2009,12,6,17,55,13,4.6,-10.0033,34.0271,14.5
2009,12,6,17,58,16,5.1,-10.0955,33.8835,6
2009,12,6,18,0,2,5.2,-9.995,33.897,15
2009,12,6,18,29,16,5.1,-10.1118,33.8625,11.75
2009,12,6,19,16,54,3.8,-9.9792,33.7809,22
2009,12,6,19,36,42,4.3,-10.0888,33.9064,7.75
2009,12,7,3,35,40,3.8,-10.1634,33.8409,13
2009,12,7,6,1,29,4,-10.2195,33.925,11.75
2009,12,7,9,31,46,5,-10.1254,33.8062,9.75
2009,12,7,18,9,40,4.5,-10.102,33.786,20
2009,12,7,18,16,34,5,-9.994,33.749,17.7
2009,12,7,18,23,42,4.1,-9.9066,33.8404,10
2009,12,7,18,32,55,3.8,-9.9091,33.6476,10
2009,12,7,18,42,42,3.8,-9.9863,33.6441,10
2009,12,8,3,8,57,5.9,-9.9832,33.8192,12
2009,12,8,3,31,18,4,-9.9496,33.6837,10
2009,12,8,5,5,32,3.9,-9.8655,33.805,10
2009,12,8,6,10,17,4,-10.0305,33.9067,10
2009,12,10,7,48,14,3.6,-9.5054,33.8109,10
2009,12,11,4,49,10,4.9,-10.09,33.86,8
2009,12,11,20,6,25,4.1,-10.014,33.824,15
2009,12,12,2,27,4,5.5,-9.9131,33.7948,15.5
2009,12,15,18,19,32,3.6,-6.878,29.9583,10
2009,12,19,23,19,17,6,-10.11,33.82,5
2009,12,21,18,23,43,3.7,-1.7396,29.0654,10
2009,12,22,20,9,9,3.8,-4.0079,34.8003,8.6
2009,12,24,13,39,1,3.2,-9.967,33.519,10
2009,12,24,14,16,18,3.8,-9.97,33.8,0
2009,12,24,18,28,25,3.1,-9.464,32.666,10
2009,12,25,2,48,16,3.1,-11.334,32.099,10
2009,12,25,20,27,32,3.1,-10.616,33.769,10
2009,12,25,21,26,7,3.1,-9.877,31.589,10
2009,12,25,21,33,43,3,-9.322,31.874,10
2009,12,26,2,44,28,3.4,-11.1,32.254,10
2009,12,26,2,47,44,3.3,-10.208,31.381,10
2009,12,27,20,32,27,3.1,-9.267,31.792,10
2009,12,27,21,57,42,3.1,-9.28,33.406,10
2009,12,28,0,37,46,3.3,-9.762,31.862,10
2009,12,28,0,46,21,3.1,-10.668,31.555,10
2009,12,28,6,48,15,4.3,-7.0586,30.1236,17.25
2009,12,28,23,9,16,3,-11.324,33.345,10
2009,12,29,8,52,46,3.3,-9.231,31.774,10
2009,12,29,21,48,55,3.1,-9.213,31.823,10
2009,12,29,22,43,31,3.2,-10.346,31.389,10
2010,1,2,3,13,16,3.8,-4.0869,34.8402,22
2010,1,5,7,10,20,3.5,-7.179,30.783,0
2010,1,11,3,39,39,4.3,-4.1109,34.874,22
2010,1,12,23,14,34,4.6,-13.7553,34.4926,37.75
2010,1,28,23,57,23,4.1,-0.5963,29.3178,16
2010,2,4,15,55,0,3.5,-0.9472,29.2193,0
2010,2,6,13,50,8,3.4,-21.454,32.789,5
2010,2,8,13,58,3,3.7,-7.8312,31.5465,10
2010,2,13,15,20,48,4.1,-10.1167,33.8339,10.25
2010,2,14,4,48,50,3.8,-7.2231,30.3678,18
2010,2,20,7,6,50,3.4,-3.5119,28.6194,0
2010,2,28,12,14,2,4.1,-22.031,33.386,5
2010,2,28,20,29,26,4.1,-10.0788,33.991,5
2010,3,1,8,40,27,4,-10.1846,33.7332,10
2010,3,2,6,36,48,3.8,-10.3826,33.9979,10
2010,3,2,21,59,57,3.6,-22.195,33.076,5
2010,3,3,13,38,8,3.8,-2.795,36.4348,0
2010,3,3,13,40,43,3.2,-24.5,28.186,5
2010,3,6,20,0,41,4,-8.9628,32.5021,24
2010,3,19,11,9,25,3.9,-11.0506,34.0459,10
2010,3,21,11,8,49,3.8,-9.8476,33.5536,12
2010,4,1,9,20,22,3.9,-2.8,36.0356,12
2010,4,8,23,57,42,5.1,-4.1678,35.2346,19.4
2010,4,25,5,50,0,3.9,-5.426,29.5798,20
2010,4,26,11,54,34,3.8,-5.406,35.8625,8.5
2010,5,4,21,34,12,3.9,-4.4837,35.9347,10
2010,5,5,0,3,13,4.5,-5.2992,35.8941,9
2010,5,15,23,48,42,3,-23.881,26.108,5
2010,6,4,16,11,7,3.6,-9.2074,31.0105,0
